,kalimat_id,kata,sense,kalimat
0,336691,cerah,4801,cuaca cerah adalah lazim sepanjang tahun
1,336270,cerah,4801,gambar yang dihasilkan oleh layarnya cukup cerah dan memiliki speaker yang mampu menghasilkan suara yang keras dan jernih
2,336555,cerah,4803,masa depan yang cerah bagi pemuda berumur 20 di prancis abad 17
3,336618,cerah,4801,cor caroli alpha canum venaticorum nama lengkapnya adalah cor caroli regis martyris adalah bintang yang paling cerah di rasi canes venatici
4,336613,cerah,4801,sanders lebih menyukai cat air untuk lilo dengan maksud menampilkan warna cerah buku cerita bergambar
5,336406,cerah,4801,ulleungdo memiliki iklim subtropis basah klasifikasi iklim koppen cfa karena pada musim dingin hujan sangatlah deras dan cuaca cerah sangat jarang
6,336324,cerah,4801,ikan hias kemungkinan besar sulit bertahan hidup di alam liar akibat warna warninya yang cerah dan siripnya yang panjang
7,336401,cerah,4801,sebuah entremet menandai berakhirnya sajian suatu set menu dan dapat berupa apa saja mulai dari frumenty sederhana semacam bubur gandum yang berwarna cerah dan dibumbui dengan rempah rempah
8,336426,cerah,4801,alangkah lega hatinya ketika ia mulai melihat binatang binatang ternak berkeliaran di atas ladang ladang rumput burung burung berterbangan di udara yang cerah
9,337760,coklat,4703,sisi atas tubuh berwarna coklat tembaga keemasan
10,337381,coklat,470d,dari hasil pengujian menunjukkan bahwa ada beberapa varietas yang tahan terhadap wereng coklat biotipe 2 dan 3 namun menjadi rentan terhadap wereng punggung putih
11,337629,coklat,4703,lucy memiliki mata coklat dan rambut pirang sepanjang bahu yang biasanya diikat oleh pita dalam berbagai warna dalam ekor kuda kecil untuk sebelah kanan kepalanya dengan seluruh rambut terurai
12,337446,coklat,4703,punggung dan badannya berwarna coklat kelabu dengan 4 garis hitam sepanjang anterior badannya
13,338100,coklat,4703,jenis koral yang seringkali ditemukan adalah karang daging porites lobata yang kebanyakan berwarna ungu coklat dan kekuningan
14,337480,coklat,4703,kepala berwarna coklat kemerahan dengan garis hitam dari mata sampai tengkuk
15,336955,coklat,4703,pada remaja memiliki corak coklat berbintik kuning kecoklatan
16,816088,jalan,1902,rancangan pei menempatkan kotak sepatu kaku di sebuah sudut di kisi jalan sekitar
17,810534,jalan,1903,selain jalan ceritakostum yang digunakan juga tidak sesuai zamannya
18,809166,jalan,1901,taraf hidup masyarakat meningkat dengan didukung pembuatan jalan desa pembangunan rumah penduduk yang dilakukan secara gotong royong mengatur keamanan secara bersama sama
19,811504,jalan,1901,terdapat lima jalan tol besar yang menghubungkan distrik bisnis sentral johor bahru dengan kota kota luar
20,814156,jalan,1901,sejumlah jalan dan tempat di kota ini diberi nama ilmuwan matematikawan dan penemu seperti dieselstrasse
